,Temperature,WI,GHGI,Age,Uses_College,Uses_Sports,Uses_ResidentHousing,Uses_Laboratory,Uses_Office,Uses_Hotel,Uses_Distribution,Uses_Food,Uses_Worship,Uses_Medical,Y_Electric,Y_Very_Low_E,Y_Low_E,Y_Medium_E,Y_High_E,Y_Very_High_E
9,54.0,3.8475902991347772,2.0452687208550504,1983.0,0,0,0,1,0,0,0,0,0,0,12.540499494234771,0,0,1,0,0
10,48.55,3.660169126681845,2.0548714035937556,1983.0,0,0,0,1,0,0,0,0,0,0,12.454299380495549,0,0,1,0,0
11,45.25,3.491174025590017,2.063549763929805,1983.0,0,0,0,1,0,0,0,0,0,0,11.775712345785243,0,0,1,0,0
0,26.2,5.623895727648228,1.4552256648115076,1917.0,0,0,0,1,0,0,0,0,0,0,16.392842884964526,0,0,0,1,0
1,19.1,5.861431162789236,1.4563171386338072,1917.0,0,0,0,1,0,0,0,0,0,0,9.152264567715953,0,1,0,0,0
2,33.3,5.977192102699726,1.4609013286874664,1917.0,0,0,0,1,0,0,0,0,0,0,7.8569601755901255,0,1,0,0,0
3,48.05,6.188512195117497,1.4672318768568047,1917.0,0,0,0,1,0,0,0,0,0,0,7.847023517742419,0,1,0,0,0
4,62.3,6.270634809956595,1.469705884187351,1917.0,0,0,0,1,0,0,0,0,0,0,9.27207109349198,0,1,0,0,0
5,64.65,6.020038684354908,1.4654855187411253,1917.0,0,0,0,1,0,0,0,0,0,0,9.597080678895395,0,1,0,0,0
6,73.85,6.666871728465152,1.46006453209037,1917.0,0,0,0,1,0,0,0,0,0,0,9.85205202250185,0,1,0,0,0
7,74.65,6.639434882317535,1.4514055064334586,1917.0,0,0,0,1,0,0,0,0,0,0,10.107551363738883,0,0,1,0,0
8,69.2,6.65606612124948,1.4466757865368263,1917.0,0,0,0,1,0,0,0,0,0,0,8.915561942127585,0,1,0,0,0
9,54.0,6.062697342406338,1.4490770289458859,1917.0,0,0,0,1,0,0,0,0,0,0,8.29925735173197,0,1,0,0,0
10,48.55,5.767375399111962,1.4558805491048876,1917.0,0,0,0,1,0,0,0,0,0,0,8.242210427245489,0,1,0,0,0
11,45.25,5.501087652597082,1.4620291849705096,1917.0,0,0,0,1,0,0,0,0,0,0,7.793123974253836,0,1,0,0,0
0,26.2,1.3330176881908329,2.095524957328571,1983.0,0,0,0,1,0,0,0,0,0,0,19.810043579536057,0,0,0,1,0
1,19.1,1.3893201077144395,2.097096679632682,1983.0,0,0,0,1,0,0,0,0,0,0,11.060116979721123,0,0,1,0,0
2,33.3,1.4167586286215135,2.1036979133099516,1983.0,0,0,0,1,0,0,0,0,0,0,9.494797490182647,0,1,0,0,0
3,48.05,1.4668472921929498,2.1128139026737984,1983.0,0,0,0,1,0,0,0,0,0,0,9.48278946775607,0,1,0,0,0
4,62.3,1.4863126065377412,2.1163764732297854,1983.0,0,0,0,1,0,0,0,0,0,0,11.204897998693296,0,0,1,0,0
5,64.65,1.4269144448014046,2.1102991469872205,1983.0,0,0,0,1,0,0,0,0,0,0,11.59765806452141,0,0,1,0,0
6,73.85,1.5802316346750234,2.1024929262101324,1983.0,0,0,0,1,0,0,0,0,0,0,11.905779935988225,0,0,1,0,0
7,74.65,1.5737283488756193,2.0900239292641802,1983.0,0,0,0,1,0,0,0,0,0,0,12.214539869818296,0,0,1,0,0
8,69.2,1.57767040910334,2.0832131326130297,1983.0,0,0,0,1,0,0,0,0,0,0,10.774072066023022,0,0,1,0,0
9,54.0,1.437025717927875,2.0866709216820754,1983.0,0,0,0,1,0,0,0,0,0,0,10.029294550635298,0,0,1,0,0
10,48.55,1.367026309477442,2.096467990711038,1983.0,0,0,0,1,0,0,0,0,0,0,9.960355802909469,0,0,1,0,0
11,45.25,1.3039088027804873,2.1053220263575336,1983.0,0,0,0,1,0,0,0,0,0,0,9.417654194215123,0,1,0,0,0
0,26.2,2.089809475364521,1.696377346408843,1997.0,0,0,0,1,0,0,0,0,0,0,18.199804918345308,0,0,0,1,0
1,19.1,2.178076368481349,1.6976496930359808,1997.0,0,0,0,1,0,0,0,0,0,0,10.161106945415266,0,0,1,0,0
2,33.3,2.221092512595246,1.7029935488699608,1997.0,0,0,0,1,0,0,0,0,0,0,8.723022812480144,0,1,0,0,0
3,48.05,2.299617925023943,1.7103731593073608,1997.0,0,0,0,1,0,0,0,0,0,0,8.711990849590139,0,1,0,0,0
4,62.3,2.3301342480398084,1.7132571449955403,1997.0,0,0,0,1,0,0,0,0,0,0,10.29411959077334,0,0,1,0,0
5,64.65,2.2370140724296106,1.7083374047039401,1997.0,0,0,0,1,0,0,0,0,0,0,10.654954565673258,0,0,1,0,0
6,73.85,2.4773737608062896,1.7020180831224883,1997.0,0,0,0,1,0,0,0,0,0,0,10.938031073266828,0,0,1,0,0
7,74.65,2.4671783760000734,1.6919241332138601,1997.0,0,0,0,1,0,0,0,0,0,0,11.221693778992188,0,0,1,0,0
8,69.2,2.473358455146307,1.6864106311629288,1997.0,0,0,0,1,0,0,0,0,0,0,9.898312893181675,0,1,0,0,0
9,54.0,2.252865800861193,1.6892097937426325,1997.0,0,0,0,1,0,0,0,0,0,0,9.214073838724028,0,1,0,0,0
10,48.55,2.1431257513888076,1.6971407543851258,1997.0,0,0,0,1,0,0,0,0,0,0,9.15073870496283,0,1,0,0,0
11,45.25,2.0441746536462873,1.7043083070513367,1997.0,0,0,0,1,0,0,0,0,0,0,8.652150028595033,0,1,0,0,0
0,26.2,5.896577676518402,0.8897665493418931,1924.0,0,0,1,0,0,0,0,0,0,0,1.6707021682315075,1,0,0,0,0
1,19.1,6.145630328285874,0.8904339076218135,1924.0,0,0,1,0,0,0,0,0,0,0,0.9327673280841385,1,0,0,0,0
2,33.3,6.267004088957362,0.8932368123974794,1924.0,0,0,1,0,0,0,0,0,0,0,0.8007543592763126,1,0,0,0,0
3,48.05,6.488570312780561,0.8971074904210177,1924.0,0,0,1,0,0,0,0,0,0,0,0.7997416492828334,1,0,0,0,0
